Latitude,Longitude,Seagr bioregion,Habitat,Genus,Year obs [a AD],Seagr biom above dm [g/m**2],Seagr biom below dm [g/m**2],Seagr biom tot dm [g/m**2],Seagr shoot dens [#/m**2],Seagr cov [%],Seagr leaf dens [#/m**2],Seagr prod above dm [g/m**2/day],Seagr prod below dm [g/m**2/day],Seagr prod total dm [g/m**2/day],Seagr shoot prod dm [g/m**2/day],Seagr leaf prod dm [g/m**2/day],Reference
42.304,3.302,Mediterranean,Coastal,Zostera,1992,33.3,,,,,,,,,,0.4,Cebrian et al. 1997
42.304,3.302,Mediterranean,Coastal,Zostera,1992,17,,,,,,,,,,0.1,Cebrian et al. 1997
42.304,3.302,Mediterranean,Coastal,Zostera,1992,13.2,,,,,,,,,,0.3,Cebrian et al. 1997
42.304,3.302,Mediterranean,Coastal,Zostera,1992,21.4,,,,,,,,,,0.3,Cebrian et al. 1997
42.304,3.302,Mediterranean,Coastal,Zostera,1992,9.8,,,,,,,,,,0.3,Cebrian et al. 1997
42.304,3.302,Mediterranean,Coastal,Zostera,1992,15.8,,,,,,,,,,0.4,Cebrian et al. 1997
42.304,3.302,Mediterranean,Coastal,Zostera,1992,0.7,,,,,,,,,,0.9,Cebrian et al. 1997
42.304,3.302,Mediterranean,Coastal,Zostera,1992,32.6,,,,,,,,,,1.6,Cebrian et al. 1997
42.304,3.302,Mediterranean,Coastal,Zostera,1992,16.1,,,,,,,,,,1.1,Cebrian et al. 1997
42.304,3.302,Mediterranean,Coastal,Zostera,1992,42.8,,,,,,,,,,1.1,Cebrian et al. 1997
42.304,3.302,Mediterranean,Coastal,Zostera,1992,40.4,,,,,,,,,,2.7,Cebrian et al. 1997
42.304,3.302,Mediterranean,Coastal,Zostera,1992,10.2,,,,,,,,,,0.4,Cebrian et al. 1997
42.304,3.302,Mediterranean,Coastal,Zostera,1992,2.1,,,,,,,,,,0.2,Cebrian et al. 1997
42.304,3.302,Mediterranean,Coastal,Cymodocea,1993,11.5,,,,,,,,,,0.1,Cebrian et al. 1997
42.304,3.302,Mediterranean,Coastal,Cymodocea,1993,24.7,,,,,,,,,,0.2,Cebrian et al. 1997
42.304,3.302,Mediterranean,Coastal,Cymodocea,1993,17.2,,,,,,,,,,0.1,Cebrian et al. 1997
42.304,3.302,Mediterranean,Coastal,Cymodocea,1993,29.1,,,,,,,,,,0.7,Cebrian et al. 1997
42.304,3.302,Mediterranean,Coastal,Posidonia,1993,182.7,,,,,,,,,,3.1,Cebrian et al. 1997
42.304,3.302,Mediterranean,Coastal,Posidonia,1993,194.9,,,,,,,,,,1.4,Cebrian et al. 1997
42.304,3.302,Mediterranean,Coastal,Posidonia,1993,205.1,,,,,,,,,,1.5,Cebrian et al. 1997
42.304,3.302,Mediterranean,Coastal,Zostera,1993,13.6,,,,,,,,,,0.5,Cebrian et al. 1997
42.304,3.302,Mediterranean,Coastal,Zostera,1993,34.8,,,,,,,,,,0.8,Cebrian et al. 1997
42.304,3.302,Mediterranean,Coastal,Zostera,1993,76.8,,,,,,,,,,1.4,Cebrian et al. 1997
42.304,3.302,Mediterranean,Coastal,Zostera,1993,119.3,,,,,,,,,,1.8,Cebrian et al. 1997
42.304,3.302,Mediterranean,Coastal,Zostera,1993,215.5,,,,,,,,,,4.5,Cebrian et al. 1997
42.304,3.302,Mediterranean,Coastal,Zostera,1993,141.2,,,,,,,,,,3.3,Cebrian et al. 1997
42.304,3.302,Mediterranean,Coastal,Zostera,1993,3.5,,,,,,,,,,0.1,Cebrian et al. 1997
42.304,3.302,Mediterranean,Coastal,Zostera,1993,29.5,,,,,,,,,,0.5,Cebrian et al. 1997
42.304,3.302,Mediterranean,Coastal,Zostera,1993,16.5,,,,,,,,,,0.6,Cebrian et al. 1997
42.304,3.302,Mediterranean,Coastal,Zostera,1993,8.1,,,,,,,,,,0.5,Cebrian et al. 1997
40.603,0.718,Mediterranean,Coastal,Cymodocea,1994,103.6,221.4,325,,,,,,,,2.8,Cebrian et al. 2000
37.876,12.438,Mediterranean,Coastal,Posidonia,2000,,,,340.32,,,,,,,,Ceccherelli et al. 2007
37.876,12.438,Mediterranean,Coastal,Posidonia,2000,,,,441.84,,,,,,,,Ceccherelli et al. 2007
37.876,12.438,Mediterranean,Coastal,Posidonia,2001,,,,341.69,,,,,,,,Ceccherelli et al. 2007
37.876,12.438,Mediterranean,Coastal,Posidonia,2001,,,,356.8,,,,,,,,Ceccherelli et al. 2007
37.876,12.438,Mediterranean,Coastal,Posidonia,2001,,,,378.78,,,,,,,,Ceccherelli et al. 2007
37.876,12.438,Mediterranean,Coastal,Posidonia,2001,,,,382.9,,,,,,,,Ceccherelli et al. 2007
37.876,12.438,Mediterranean,Coastal,Posidonia,2001,,,,389.77,,,,,,,,Ceccherelli et al. 2007
37.876,12.438,Mediterranean,Coastal,Posidonia,2001,,,,404.88,,,,,,,,Ceccherelli et al. 2007
37.876,12.438,Mediterranean,Coastal,Posidonia,2001,,,,437.84,,,,,,,,Ceccherelli et al. 2007
37.876,12.438,Mediterranean,Coastal,Posidonia,2001,,,,455.7,,,,,,,,Ceccherelli et al. 2007
37.876,12.438,Mediterranean,Coastal,Posidonia,2001,,,,469.44,,,,,,,,Ceccherelli et al. 2007
37.876,12.438,Mediterranean,Coastal,Posidonia,2001,,,,437.84,,,,,,,,Ceccherelli et al. 2007
37.876,12.438,Mediterranean,Coastal,Posidonia,2001,,,,433.04,,,,,,,,Ceccherelli et al. 2007
37.876,12.438,Mediterranean,Coastal,Posidonia,2001,,,,438.67,,,,,,,,Ceccherelli et al. 2007
37.876,12.438,Mediterranean,Coastal,Posidonia,2001,,,,437.39,,,,,,,,Ceccherelli et al. 2007
37.876,12.438,Mediterranean,Coastal,Posidonia,2001,,,,473.62,,,,,,,,Ceccherelli et al. 2007
37.876,12.438,Mediterranean,Coastal,Posidonia,2001,,,,478.07,,,,,,,,Ceccherelli et al. 2007
37.876,12.438,Mediterranean,Coastal,Posidonia,2001,,,,486.33,,,,,,,,Ceccherelli et al. 2007
37.876,12.438,Mediterranean,Coastal,Posidonia,2001,,,,490.15,,,,,,,,Ceccherelli et al. 2007
37.876,12.438,Mediterranean,Coastal,Posidonia,2001,,,,520.02,,,,,,,,Ceccherelli et al. 2007
37.876,12.438,Mediterranean,Coastal,Posidonia,2001,,,,528.28,,,,,,,,Ceccherelli et al. 2007
37.876,12.438,Mediterranean,Coastal,Posidonia,2001,,,,515.57,,,,,,,,Ceccherelli et al. 2007
37.876,12.438,Mediterranean,Coastal,Posidonia,2001,,,,522.56,,,,,,,,Ceccherelli et al. 2007
37.876,12.438,Mediterranean,Coastal,Posidonia,2001,,,,501.59,,,,,,,,Ceccherelli et al. 2007
21.95,120.733,Tropical Indo Pacific,Coastal,Thalassia,2008,,,,531.58,,,,,,,5.504,Chiu et al. 2013
21.95,120.733,Tropical Indo Pacific,Coastal,Thalassia,2008,,,,652.91,,,,,,,7.456,Chiu et al. 2013
21.95,120.733,Tropical Indo Pacific,Coastal,Thalassia,2008,,,,883.77,,,,,,,6.384,Chiu et al. 2013
21.95,120.733,Tropical Indo Pacific,Coastal,Thalassia,2008,,,,608.92,,,,,,,4.916,Chiu et al. 2013
21.95,120.733,Tropical Indo Pacific,Coastal,Thalassia,2009,,,,466.05,,,,,,,1.2,Chiu et al. 2013
21.95,120.733,Tropical Indo Pacific,Coastal,Thalassia,2009,,,,535.21,,,,,,,2.032,Chiu et al. 2013
21.95,120.733,Tropical Indo Pacific,Coastal,Thalassia,2009,,,,514.19,,,,,,,1.624,Chiu et al. 2013
21.95,120.733,Tropical Indo Pacific,Coastal,Thalassia,2009,,,,375.3,,,,,,,0.967,Chiu et al. 2013
30.386569,-88.406113,Tropical Atlantic,Coastal,Ruppia,2005,,,,,60.5,,,,,,,Cho et al. 2017
30.35973,-88.397873,Tropical Atlantic,Coastal,Ruppia,2005,,,,,43.2,,,,,,,Cho et al. 2017
30.35973,-88.397873,Tropical Atlantic,Coastal,Halodule,2005,,,,,15.4,,,,,,,Cho et al. 2017
30.354828,-88.410662,Tropical Atlantic,Coastal,Ruppia,2005,,,,,76.9,,,,,,,Cho et al. 2017
30.354828,-88.410662,Tropical Atlantic,Coastal,Halodule,2005,,,,,19.7,,,,,,,Cho et al. 2017
30.386569,-88.406113,Tropical Atlantic,Coastal,Ruppia,2006,,,,,96.2,,,,,,,Cho et al. 2017
30.386569,-88.406113,Tropical Atlantic,Coastal,Ruppia,2006,,,,,6.9,,,,,,,Cho et al. 2017
30.35973,-88.397873,Tropical Atlantic,Coastal,Ruppia,2006,,,,,76.4,,,,,,,Cho et al. 2017
30.35973,-88.397873,Tropical Atlantic,Coastal,Halodule,2006,,,,,20.3,,,,,,,Cho et al. 2017
30.354828,-88.410662,Tropical Atlantic,Coastal,Ruppia,2006,,,,,78.5,,,,,,,Cho et al. 2017
30.354828,-88.410662,Tropical Atlantic,Coastal,Halodule,2006,,,,,18.5,,,,,,,Cho et al. 2017
30.386569,-88.406113,Tropical Atlantic,Coastal,Ruppia,2007,,,,,55.2,,,,,,,Cho et al. 2017
30.386569,-88.406113,Tropical Atlantic,Coastal,Halodule,2007,,,,,14.2,,,,,,,Cho et al. 2017
30.35973,-88.397873,Tropical Atlantic,Coastal,Ruppia,2007,,,,,15.8,,,,,,,Cho et al. 2017
30.35973,-88.397873,Tropical Atlantic,Coastal,Halodule,2007,,,,,54.9,,,,,,,Cho et al. 2017
30.354828,-88.410662,Tropical Atlantic,Coastal,Ruppia,2007,,,,,33.1,,,,,,,Cho et al. 2017
30.354828,-88.410662,Tropical Atlantic,Coastal,Halodule,2007,,,,,23.9,,,,,,,Cho et al. 2017
30.386569,-88.406113,Tropical Atlantic,Coastal,Ruppia,2008,,,,,62.3,,,,,,,Cho et al. 2017
30.386569,-88.406113,Tropical Atlantic,Coastal,Halodule,2008,,,,,8.7,,,,,,,Cho et al. 2017
30.35973,-88.397873,Tropical Atlantic,Coastal,Ruppia,2008,,,,,41.2,,,,,,,Cho et al. 2017
30.35973,-88.397873,Tropical Atlantic,Coastal,Halodule,2008,,,,,64.7,,,,,,,Cho et al. 2017
30.354828,-88.410662,Tropical Atlantic,Coastal,Ruppia,2008,,,,,60.2,,,,,,,Cho et al. 2017
30.354828,-88.410662,Tropical Atlantic,Coastal,Halodule,2008,,,,,23.9,,,,,,,Cho et al. 2017
30.386569,-88.406113,Tropical Atlantic,Coastal,Ruppia,2009,,,,,2.8,,,,,,,Cho et al. 2017
30.386569,-88.406113,Tropical Atlantic,Coastal,Halodule,2009,,,,,21.9,,,,,,,Cho et al. 2017
30.35973,-88.397873,Tropical Atlantic,Coastal,Ruppia,2009,,,,,12.5,,,,,,,Cho et al. 2017
30.35973,-88.397873,Tropical Atlantic,Coastal,Halodule,2009,,,,,8.2,,,,,,,Cho et al. 2017
30.354828,-88.410662,Tropical Atlantic,Coastal,Ruppia,2009,,,,,32.1,,,,,,,Cho et al. 2017
30.354828,-88.410662,Tropical Atlantic,Coastal,Halodule,2009,,,,,7.6,,,,,,,Cho et al. 2017
30.386569,-88.406113,Tropical Atlantic,Coastal,Ruppia,2009,31.45,2.78,34.22,,,,,,,,,Cho et al. 2017
30.386569,-88.406113,Tropical Atlantic,Coastal,Ruppia,2009,21.58,2.78,24.36,,,,,,,,,Cho et al. 2017
30.386569,-88.406113,Tropical Atlantic,Coastal,Ruppia,2009,36.99,3.39,40.39,,,,,,,,,Cho et al. 2017
30.386569,-88.406113,Tropical Atlantic,Coastal,Ruppia,2009,50.56,4.93,55.49,,,,,,,,,Cho et al. 2017
30.386569,-88.406113,Tropical Atlantic,Coastal,Ruppia,2009,4.01,4.01,8.02,,,,,,,,,Cho et al. 2017
30.386569,-88.406113,Tropical Atlantic,Coastal,Ruppia,2009,3.08,2.16,5.24,,,,,,,,,Cho et al. 2017
30.386569,-88.406113,Tropical Atlantic,Coastal,Ruppia,2009,2.47,0.93,3.39,,,,,,,,,Cho et al. 2017
30.35973,-88.397873,Tropical Atlantic,Coastal,Ruppia,2009,14.65,14.36,29.01,,,,,,,,,Cho et al. 2017
30.35973,-88.397873,Tropical Atlantic,Coastal,Ruppia,2009,14.06,9.27,23.33,,,,,,,,,Cho et al. 2017
30.35973,-88.397873,Tropical Atlantic,Coastal,Ruppia,2009,74.77,5.98,80.75,,,,,,,,,Cho et al. 2017
30.35973,-88.397873,Tropical Atlantic,Coastal,Ruppia,2009,95.7,6.88,102.58,,,,,,,,,Cho et al. 2017
30.35973,-88.397873,Tropical Atlantic,Coastal,Ruppia,2009,2.99,4.79,7.78,,,,,,,,,Cho et al. 2017
30.35973,-88.397873,Tropical Atlantic,Coastal,Ruppia,2009,2.09,2.69,4.79,,,,,,,,,Cho et al. 2017
30.35973,-88.397873,Tropical Atlantic,Coastal,Ruppia,2009,2.39,1.5,3.89,,,,,,,,,Cho et al. 2017
30.354828,-88.410662,Tropical Atlantic,Coastal,Ruppia,2009,31.8,2.39,34.19,,,,,,,,,Cho et al. 2017
30.354828,-88.410662,Tropical Atlantic,Coastal,Ruppia,2009,31.45,3.76,35.21,,,,,,,,,Cho et al. 2017
30.354828,-88.410662,Tropical Atlantic,Coastal,Ruppia,2009,53.68,4.1,57.78,,,,,,,,,Cho et al. 2017
30.354828,-88.410662,Tropical Atlantic,Coastal,Ruppia,2009,50.94,6.15,57.09,,,,,,,,,Cho et al. 2017
30.354828,-88.410662,Tropical Atlantic,Coastal,Ruppia,2009,2.39,5.81,8.21,,,,,,,,,Cho et al. 2017
30.354828,-88.410662,Tropical Atlantic,Coastal,Ruppia,2009,1.71,4.1,5.81,,,,,,,,,Cho et al. 2017
30.354828,-88.410662,Tropical Atlantic,Coastal,Ruppia,2009,2.39,3.42,5.81,,,,,,,,,Cho et al. 2017
30.354828,-88.410662,Tropical Atlantic,Coastal,Ruppia,2009,0.68,1.03,1.71,,,,,,,,,Cho et al. 2017
30.386569,-88.406113,Tropical Atlantic,Coastal,Halodule,2009,0.59,1.48,2.07,,,,,,,,,Cho et al. 2017
30.386569,-88.406113,Tropical Atlantic,Coastal,Halodule,2009,1.78,2.07,3.85,,,,,,,,,Cho et al. 2017
30.386569,-88.406113,Tropical Atlantic,Coastal,Halodule,2009,10.07,1.19,11.26,,,,,,,,,Cho et al. 2017
30.386569,-88.406113,Tropical Atlantic,Coastal,Halodule,2009,15.41,1.78,17.19,,,,,,,,,Cho et al. 2017
30.386569,-88.406113,Tropical Atlantic,Coastal,Halodule,2009,1.78,1.19,2.96,,,,,,,,,Cho et al. 2017
30.386569,-88.406113,Tropical Atlantic,Coastal,Halodule,2009,1.48,1.19,2.67,,,,,,,,,Cho et al. 2017
30.386569,-88.406113,Tropical Atlantic,Coastal,Halodule,2009,1.48,0.89,2.37,,,,,,,,,Cho et al. 2017
30.35973,-88.397873,Tropical Atlantic,Coastal,Halodule,2009,25.46,16.36,41.82,,,,,,,,,Cho et al. 2017
30.35973,-88.397873,Tropical Atlantic,Coastal,Halodule,2009,25.76,20.3,46.06,,,,,,,,,Cho et al. 2017
30.35973,-88.397873,Tropical Atlantic,Coastal,Halodule,2009,38.49,3.03,41.52,,,,,,,,,Cho et al. 2017
30.35973,-88.397873,Tropical Atlantic,Coastal,Halodule,2009,42.73,3.03,45.76,,,,,,,,,Cho et al. 2017
30.35973,-88.397873,Tropical Atlantic,Coastal,Halodule,2009,1.82,2.12,3.94,,,,,,,,,Cho et al. 2017
30.35973,-88.397873,Tropical Atlantic,Coastal,Halodule,2009,1.21,1.82,3.03,,,,,,,,,Cho et al. 2017
30.35973,-88.397873,Tropical Atlantic,Coastal,Halodule,2009,1.82,0.91,2.73,,,,,,,,,Cho et al. 2017
30.35973,-88.397873,Tropical Atlantic,Coastal,Halodule,2009,0.3,0.91,1.21,,,,,,,,,Cho et al. 2017
30.354828,-88.410662,Tropical Atlantic,Coastal,Halodule,2009,10.73,1.01,11.74,,,,,,,,,Cho et al. 2017
30.354828,-88.410662,Tropical Atlantic,Coastal,Halodule,2009,13.08,2.68,15.77,,,,,,,,,Cho et al. 2017
30.354828,-88.410662,Tropical Atlantic,Coastal,Halodule,2009,23.82,1.68,25.49,,,,,,,,,Cho et al. 2017
30.354828,-88.410662,Tropical Atlantic,Coastal,Halodule,2009,22.14,2.68,24.82,,,,,,,,,Cho et al. 2017
30.354828,-88.410662,Tropical Atlantic,Coastal,Halodule,2009,1.01,3.35,4.36,,,,,,,,,Cho et al. 2017
30.354828,-88.410662,Tropical Atlantic,Coastal,Halodule,2009,1.34,2.35,3.69,,,,,,,,,Cho et al. 2017
30.354828,-88.410662,Tropical Atlantic,Coastal,Halodule,2009,2.01,2.01,4.03,,,,,,,,,Cho et al. 2017
30.354828,-88.410662,Tropical Atlantic,Coastal,Halodule,2009,0.67,1.01,1.68,,,,,,,,,Cho et al. 2017
30.386569,-88.406113,Tropical Atlantic,Coastal,Ruppia,2010,4.32,6.17,10.48,,,,,,,,,Cho et al. 2017
30.386569,-88.406113,Tropical Atlantic,Coastal,Ruppia,2010,24.36,18.5,42.85,,,,,,,,,Cho et al. 2017
30.35973,-88.397873,Tropical Atlantic,Coastal,Ruppia,2010,2.09,0.9,2.99,,,,,,,,,Cho et al. 2017
30.35973,-88.397873,Tropical Atlantic,Coastal,Ruppia,2010,12.86,8.67,21.53,,,,,,,,,Cho et al. 2017
30.35973,-88.397873,Tropical Atlantic,Coastal,Ruppia,2010,16.45,15.25,31.7,,,,,,,,,Cho et al. 2017
30.354828,-88.410662,Tropical Atlantic,Coastal,Ruppia,2010,0.68,0.68,1.37,,,,,,,,,Cho et al. 2017
30.354828,-88.410662,Tropical Atlantic,Coastal,Ruppia,2010,2.39,1.71,4.1,,,,,,,,,Cho et al. 2017
30.354828,-88.410662,Tropical Atlantic,Coastal,Ruppia,2010,14.36,14.7,29.06,,,,,,,,,Cho et al. 2017
30.35973,-88.397873,Tropical Atlantic,Coastal,Halodule,2010,0.91,0.61,1.52,,,,,,,,,Cho et al. 2017
30.35973,-88.397873,Tropical Atlantic,Coastal,Halodule,2010,2.42,0.91,3.33,,,,,,,,,Cho et al. 2017
30.35973,-88.397873,Tropical Atlantic,Coastal,Halodule,2010,16.06,10.61,26.67,,,,,,,,,Cho et al. 2017
30.35973,-88.397873,Tropical Atlantic,Coastal,Halodule,2010,30.3,16.67,46.97,,,,,,,,,Cho et al. 2017
30.354828,-88.410662,Tropical Atlantic,Coastal,Halodule,2010,0.67,0.67,1.34,,,,,,,,,Cho et al. 2017
30.354828,-88.410662,Tropical Atlantic,Coastal,Halodule,2010,1.34,0.34,1.68,,,,,,,,,Cho et al. 2017
30.354828,-88.410662,Tropical Atlantic,Coastal,Halodule,2010,0.67,0.67,1.34,,,,,,,,,Cho et al. 2017
30.354828,-88.410662,Tropical Atlantic,Coastal,Halodule,2010,15.43,28.18,43.61,,,,,,,,,Cho et al. 2017
30.386569,-88.406113,Tropical Atlantic,Coastal,Ruppia,2011,,,,,79.9,,,,,,,Cho et al. 2017
30.386569,-88.406113,Tropical Atlantic,Coastal,Halodule,2011,,,,,11.8,,,,,,,Cho et al. 2017
30.35973,-88.397873,Tropical Atlantic,Coastal,Ruppia,2011,,,,,11.3,,,,,,,Cho et al. 2017
30.35973,-88.397873,Tropical Atlantic,Coastal,Halodule,2011,,,,,64.1,,,,,,,Cho et al. 2017
30.354828,-88.410662,Tropical Atlantic,Coastal,Ruppia,2011,,,,,18.1,,,,,,,Cho et al. 2017
30.354828,-88.410662,Tropical Atlantic,Coastal,Halodule,2011,,,,,30.3,,,,,,,Cho et al. 2017
30.386569,-88.406113,Tropical Atlantic,Coastal,Ruppia,2011,65.36,6.17,71.52,,,,,,,,,Cho et al. 2017
30.35973,-88.397873,Tropical Atlantic,Coastal,Ruppia,2011,20.04,3.59,23.63,,,,,,,,,Cho et al. 2017
30.354828,-88.410662,Tropical Atlantic,Coastal,Ruppia,2011,27.01,2.05,29.06,,,,,,,,,Cho et al. 2017
30.386569,-88.406113,Tropical Atlantic,Coastal,Halodule,2011,0.59,0.89,1.48,,,,,,,,,Cho et al. 2017
30.35973,-88.397873,Tropical Atlantic,Coastal,Halodule,2011,20.61,46.97,67.58,,,,,,,,,Cho et al. 2017
30.354828,-88.410662,Tropical Atlantic,Coastal,Halodule,2011,8.72,12.08,20.8,,,,,,,,,Cho et al. 2017
30.35973,-88.397873,Tropical Atlantic,Coastal,Ruppia,2012,12.86,4.19,17.05,,,,,,,,,Cho et al. 2017
30.35973,-88.397873,Tropical Atlantic,Coastal,Ruppia,2012,13.76,18.54,32.3,,,,,,,,,Cho et al. 2017
30.354828,-88.410662,Tropical Atlantic,Coastal,Ruppia,2012,4.44,2.74,7.18,,,,,,,,,Cho et al. 2017
30.354828,-88.410662,Tropical Atlantic,Coastal,Ruppia,2012,19.49,4.79,24.27,,,,,,,,,Cho et al. 2017
30.386569,-88.406113,Tropical Atlantic,Coastal,Halodule,2012,1.78,6.22,8,,,,,,,,,Cho et al. 2017
30.386569,-88.406113,Tropical Atlantic,Coastal,Halodule,2012,5.33,10.37,15.7,,,,,,,,,Cho et al. 2017
30.35973,-88.397873,Tropical Atlantic,Coastal,Halodule,2012,6.36,11.82,18.18,,,,,,,,,Cho et al. 2017
30.35973,-88.397873,Tropical Atlantic,Coastal,Halodule,2012,12.12,19.09,31.21,,,,,,,,,Cho et al. 2017
30.354828,-88.410662,Tropical Atlantic,Coastal,Halodule,2012,9.39,9.73,19.12,,,,,,,,,Cho et al. 2017
30.354828,-88.410662,Tropical Atlantic,Coastal,Halodule,2012,1.68,1.34,3.02,,,,,,,,,Cho et al. 2017
30.386569,-88.406113,Tropical Atlantic,Coastal,Ruppia,2013,6.78,0.62,7.4,,,,,,,,,Cho et al. 2017
30.35973,-88.397873,Tropical Atlantic,Coastal,Ruppia,2013,4.49,3.59,8.08,,,,,,,,,Cho et al. 2017
30.35973,-88.397873,Tropical Atlantic,Coastal,Ruppia,2013,63.4,22.13,85.53,,,,,,,,,Cho et al. 2017
30.354828,-88.410662,Tropical Atlantic,Coastal,Ruppia,2013,1.37,1.03,2.39,,,,,,,,,Cho et al. 2017
30.354828,-88.410662,Tropical Atlantic,Coastal,Ruppia,2013,18.8,9.92,28.72,,,,,,,,,Cho et al. 2017
30.386569,-88.406113,Tropical Atlantic,Coastal,Halodule,2013,1.48,2.07,3.56,,,,,,,,,Cho et al. 2017
30.35973,-88.397873,Tropical Atlantic,Coastal,Halodule,2013,2.42,8.79,11.21,,,,,,,,,Cho et al. 2017
30.354828,-88.410662,Tropical Atlantic,Coastal,Halodule,2013,1.68,1.34,3.02,,,,,,,,,Cho et al. 2017
-31.999,115.777,Temperate Southern,Estuarine,Halophila,2009,,,,,,,,,16.068,,,Choney et al. 2014
-32.024,115.818,Temperate Southern,Estuarine,Halophila,2009,,,,,,,,,14.32,,,Choney et al. 2014
-32.013,115.784,Temperate Southern,Estuarine,Halophila,2009,,,,,,,,,14.612,,,Choney et al. 2014
-31.999,115.777,Temperate Southern,Estuarine,Halophila,2009,,,,,,,,,10.825,,,Choney et al. 2014
-32.024,115.818,Temperate Southern,Estuarine,Halophila,2009,,,,,,,,,15.485,,,Choney et al. 2014
-32.013,115.784,Temperate Southern,Estuarine,Halophila,2009,,,,,,,,,16.942,,,Choney et al. 2014
-31.999,115.777,Temperate Southern,Estuarine,Halophila,2009,,,,,,,,,6.602,,,Choney et al. 2014
-32.024,115.818,Temperate Southern,Estuarine,Halophila,2009,,,,,,,,,5.291,,,Choney et al. 2014
-32.024,115.816,Temperate Southern,Estuarine,Halophila,2009,,,,,,,,,5,,,Choney et al. 2014
-31.999,115.777,Temperate Southern,Estuarine,Halophila,2009,,,,,,,,,8.641,,,Choney et al. 2014
-32.024,115.818,Temperate Southern,Estuarine,Halophila,2009,,,,,,,,,12.282,,,Choney et al. 2014
-32.013,115.784,Temperate Southern,Estuarine,Halophila,2009,,,,,,,,,9.515,,,Choney et al. 2014
12.1,-68.23,Tropical Atlantic,Estuarine,Halophila,2011,,,,,6,,,,,,,Christianen et al. 2018
12.1,-68.23,Tropical Atlantic,Estuarine,Syringodium,2011,,,,,4,,,,,,,Christianen et al. 2018
12.1,-68.23,Tropical Atlantic,Estuarine,Thalassia,2011,,,,,51,,,,,,,Christianen et al. 2018
12.1,-68.23,Tropical Atlantic,Estuarine,Halophila,2014,,,54.6,,,,,,,,,Christianen et al. 2018
12.1,-68.23,Tropical Atlantic,Estuarine,Syringodium,2014,,,22.41,,,,,,,,,Christianen et al. 2018
12.1,-68.23,Tropical Atlantic,Estuarine,Thalassia,2014,,,44.83,,,,,,,,,Christianen et al. 2018
12.1,-68.23,Tropical Atlantic,Estuarine,Halophila,2017,,,,,26,,,,,,,Christianen et al. 2018
12.1,-68.23,Tropical Atlantic,Estuarine,Syringodium,2017,,,,,3,,,,,,,Christianen et al. 2018
12.1,-68.23,Tropical Atlantic,Estuarine,Thalassia,2017,,,,,34,,,,,,,Christianen et al. 2018
40.662,-73.2,Temperate North Pacific,Coastal,Zostera,1975,,,,,,,,,,,,Churchill and Riner 1978
13.974,120.602,Tropical Indo Pacific,Coastal,Cymodocea,2010,0.05,0.15,0.2,,,,,,,,,Clores and Carandang VI 2013
13.972,120.621,Tropical Indo Pacific,Coastal,Cymodocea,2010,0.12,0.03,0.15,,,,,,,,,Clores and Carandang VI 2013
13.977,120.628,Tropical Indo Pacific,Coastal,Cymodocea,2010,0.38,0.29,0.67,,,,,,,,,Clores and Carandang VI 2013
13.984,120.631,Tropical Indo Pacific,Coastal,Cymodocea,2010,0.24,0.39,0.62,,,,,,,,,Clores and Carandang VI 2013
13.974,120.602,Tropical Indo Pacific,Coastal,Halodule,2010,0.07,0.16,0.23,,,,,,,,,Clores and Carandang VI 2013
13.972,120.621,Tropical Indo Pacific,Coastal,Halodule,2010,0.03,0.06,0.08,,,,,,,,,Clores and Carandang VI 2013
13.977,120.628,Tropical Indo Pacific,Coastal,Halodule,2010,0.04,0.13,0.17,,,,,,,,,Clores and Carandang VI 2013
13.984,120.631,Tropical Indo Pacific,Coastal,Halodule,2010,0.05,0.31,0.35,,,,,,,,,Clores and Carandang VI 2013
13.974,120.602,Tropical Indo Pacific,Coastal,Thalassia,2010,0.29,0.51,0.79,,,,,,,,,Clores and Carandang VI 2013
13.972,120.621,Tropical Indo Pacific,Coastal,Thalassia,2010,0.23,0.4,0.63,,,,,,,,,Clores and Carandang VI 2013
13.977,120.628,Tropical Indo Pacific,Coastal,Thalassia,2010,0.37,0.76,1.13,,,,,,,,,Clores and Carandang VI 2013
13.984,120.631,Tropical Indo Pacific,Coastal,Thalassia,2010,0.49,0.87,1.36,,,,,,,,,Clores and Carandang VI 2013
-38.377,145.256,Temperate Southern,Estuarine,Zostera,1980,,,623,,,,,,,,,Clough and Attiwill 1980
-38.241,145.386,Temperate Southern,Estuarine,Zostera,1980,,,554,,,,,,,,,Clough and Attiwill 1980
-38.403,145.517,Temperate Southern,Estuarine,Zostera,1980,,,139,,,,,,,,,Clough and Attiwill 1980
-38.473,145.313,Temperate Southern,Estuarine,Zostera,1980,,,52,,,,,,,,,Clough and Attiwill 1980
44.653,-1.128,Temperate North Atlantic,Estuarine,Zostera,2015,23.89,32.81,56.7,9414,60,,,,,,,Cognat et al. 2018
44.662,-1.1,Temperate North Atlantic,Estuarine,Zostera,2015,27.07,53.91,80.98,8642,14,,,,,,,Cognat et al. 2018
44.68,-1.111,Temperate North Atlantic,Estuarine,Zostera,2015,11.15,23.44,34.58,5556,15,,,,,,,Cognat et al. 2018
44.683,-1.165,Temperate North Atlantic,Estuarine,Zostera,2015,23.89,50,73.89,6944,50,,,,,,,Cognat et al. 2018
